"dir","folder","X","frame_number","sequence_id","sequence_id_original","type","distance","number_of_points","image_name","file_last_mod_date","DateTimeOriginal","ImageWidth","ImageHeight","pair_id","hb","ht","length","xb","yb","xt","yt","xg","yg","pixlen","pdl","mpdl","err"
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/CameraTrapping/REM/Calibration/Mytool2018/Hoge Veluwe test/Images/H1R0_03","H1R0_03",1,0,0,0,"cal",1.5,1,"IMG_0234.JPG",NA,"2019:11:16 14:48:21",2048,1536,"H1R0_03/IMG_0234.JPG",0.2,0.9,0.7,173.5111111,1487.644444,170.6666667,315.7333333,174.3238095,1822.47618991429,1171.91456269049,2511.24549147963,2692.94142481181,-0.0698552208712977
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/CameraTrapping/REM/Calibration/Mytool2018/Hoge Veluwe test/Images/H1R0_03","H1R0_03",3,1,2,2,"cal",1.5,1,"IMG_0239.JPG",NA,"2019:11:16 14:48:25",2048,1536,"H1R0_03/IMG_0239.JPG",0.2,0.9,0.7,873.2444444,1447.822222,786.2044271,292.9777778,898.113020771429,1777.77777748571,1158.11987933512,2481.68545571811,2692.94142481181,-0.0816961141060363
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/CameraTrapping/REM/Calibration/Mytool2018/Hoge Veluwe test/Images/H1R0_03","H1R0_03",5,2,4,4,"cal",1.5,1,"IMG_0246.JPG",NA,"2019:11:16 14:48:32",2048,1536,"H1R0_03/IMG_0246.JPG",0.3,0.9,0.6,1938.204514,1311.288889,1926.826736,264.5333333,1943.893403,1834.66666685,1046.81738962487,2617.04347406218,2692.94142481181,-0.0285888271024192
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/CameraTrapping/REM/Calibration/Mytool2018/Hoge Veluwe test/Images/H1R0_03","H1R0_03",7,3,6,6,"cal",3,1,"IMG_0253.JPG",NA,"2019:11:16 14:48:37",2048,1536,"H1R0_03/IMG_0253.JPG",0.1,0.9,0.8,145.0950852,1190.7538,149.3731032,489.689725,144.56033295,1278.386809375,701.077127492841,2629.03922809816,2692.94142481181,-0.0240155957509308
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/CameraTrapping/REM/Calibration/Mytool2018/Hoge Veluwe test/Images/H1R0_03","H1R0_03",9,4,8,8,"cal",3,1,"IMG_0260.JPG",NA,"2019:11:16 14:48:43",2048,1536,"H1R0_03/IMG_0260.JPG",0.1,0.9,0.8,938.3548475,1164.701648,875.1390162,499.384134,946.2568264125,1247.86633725,668.314024813254,2506.1775930497,2692.94142481181,-0.0718753415858594
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/CameraTrapping/REM/Calibration/Mytool2018/Hoge Veluwe test/Images/H1R0_03","H1R0_03",11,5,10,10,"cal",3,1,"IMG_0263.JPG",NA,"2019:11:16 14:48:47",2048,1536,"H1R0_03/IMG_0263.JPG",0.1,0.9,0.8,1988.845265,1258.424671,1936.224935,542.0148369,1995.42280625,1347.9759002625,718.339717351406,2693.77394006777,2692.94142481181,0.000309099407041638
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/CameraTrapping/REM/Calibration/Mytool2018/Hoge Veluwe test/Images/H1R0_03","H1R0_03",13,6,12,12,"cal",4.5,1,"IMG_0271.JPG",NA,"2019:11:16 14:48:53",2048,1536,"H1R0_03/IMG_0271.JPG",0.1,0.9,0.8,157.2383475,974.9765746,196.4189413,501.8524227,152.340773275,1034.1170935875,474.743701423847,2670.43332050914,2692.94142481181,-0.00839331111782248
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/CameraTrapping/REM/Calibration/Mytool2018/Hoge Veluwe test/Images/H1R0_03","H1R0_03",15,7,14,14,"cal",4.5,1,"IMG_0277.JPG",NA,"2019:11:16 14:49:01",2048,1536,"H1R0_03/IMG_0277.JPG",0.1,0.9,0.8,926.1625541,1003.855237,908.9252491,544.9523695,928.317217225,1061.2180954375,459.22648713177,2583.1489901162,2692.94142481181,-0.0416248692012261
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/CameraTrapping/REM/Calibration/Mytool2018/Hoge Veluwe test/Images/H1R0_03","H1R0_03",17,8,16,16,"cal",6,1,"IMG_0287.JPG",NA,"2019:11:16 14:49:12",2048,1536,"H1R0_03/IMG_0287.JPG",0.1,0.9,0.8,144.3359501,915.0561642,158.9745824,556.0914424,142.5061210625,959.926754425,359.263080558754,2694.47310419066,2692.94142481181,0.000568613910019872
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/CameraTrapping/REM/Calibration/Mytool2018/Hoge Veluwe test/Images/H1R0_03","H1R0_03",19,9,18,18,"cal",6,1,"IMG_0294.JPG",NA,"2019:11:16 14:49:19",2048,1536,"H1R0_03/IMG_0294.JPG",0.1,0.9,0.8,956.4618489,934.7864947,940.5502921,586.6416315,958.4507935,978.3046026,348.50828313305,2613.81212349788,2692.94142481181,-0.029824323252171
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/CameraTrapping/REM/Calibration/Mytool2018/Hoge Veluwe test/Images/H1R0_03","H1R0_03",21,10,20,20,"cal",6,1,"IMG_0300.JPG",NA,"2019:11:16 14:49:25",2048,1536,"H1R0_03/IMG_0300.JPG",0.1,0.9,0.8,2015.352746,1022.456533,2000.55778,654.226286,2017.20211675,1068.485313875,368.527347458262,2763.95510593696,2692.94142481181,0.0260286006608649
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/CameraTrapping/REM/Calibration/Mytool2018/Hoge Veluwe test/Images/H1R0_03","H1R0_03",23,11,22,22,"cal",7.5,1,"IMG_0310.JPG",NA,"2019:11:16 14:49:37",2048,1536,"H1R0_03/IMG_0310.JPG",0.1,0.9,0.8,140.8414665,873.4765818,159.3625486,584.6647544,138.5263312375,909.578060225,289.405083107195,2713.17265412995,2692.94142481181,0.00748460852571017
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/CameraTrapping/REM/Calibration/Mytool2018/Hoge Veluwe test/Images/H1R0_03","H1R0_03",25,12,24,24,"cal",7.5,1,"IMG_0317.JPG",NA,"2019:11:16 14:49:42",2048,1536,"H1R0_03/IMG_0317.JPG",0.1,0.9,0.8,970.9990102,880.341013,948.3541865,601.3379168,973.8296131625,915.216400025,279.92055253159,2624.25517998365,2692.94142481181,-0.0258369478646293
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/CameraTrapping/REM/Calibration/Mytool2018/Hoge Veluwe test/Images/H1R0_03","H1R0_03",27,13,26,26,"cal",7.5,1,"IMG_0323.JPG",NA,"2019:11:16 14:49:47",2048,1536,"H1R0_03/IMG_0323.JPG",0.1,0.9,0.8,2020.712178,969.5213386,2002.840806,673.8313838,2022.9460995,1006.48258295,296.229531456248,2777.15185740233,2692.94142481181,0.0307918281183735
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/CameraTrapping/REM/Calibration/Mytool2018/Hoge Veluwe test/Images/H1R0_03","H1R0_03",29,14,28,28,"cal",9,1,"IMG_0330.JPG",NA,"2019:11:16 14:49:55",2048,1536,"H1R0_03/IMG_0330.JPG",0.1,0.9,0.8,145.9130529,832.2064412,162.8966707,591.1334363,143.790100675,862.3405668125,241.670513230497,2718.79327384309,2692.94142481181,0.00955406985650962
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/CameraTrapping/REM/Calibration/Mytool2018/Hoge Veluwe test/Images/H1R0_03","H1R0_03",31,15,30,30,"cal",9,1,"IMG_0334.JPG",NA,"2019:11:16 14:50:02",2048,1536,"H1R0_03/IMG_0334.JPG",0.1,0.9,0.8,993.9493483,856.0806048,979.7334838,622.9404409,995.7263313625,885.2231252875,233.573172318229,2627.69818858008,2692.94142481181,-0.0245258131884288
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/CameraTrapping/REM/Calibration/Mytool2018/Hoge Veluwe test/Images/H1R0_03","H1R0_03",33,16,32,32,"cal",10.5,1,"IMG_0350.JPG",NA,"2019:11:16 14:50:21",2048,1536,"H1R0_03/IMG_0350.JPG",0.1,0.9,0.8,140.6977389,803.6601154,144.7594145,598.1393328,140.19002945,829.350213225,205.560913816796,2697.98699384544,2692.94142481181,0.00187187442127444
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/CameraTrapping/REM/Calibration/Mytool2018/Hoge Veluwe test/Images/H1R0_03","H1R0_03",35,17,34,34,"cal",10.5,1,"IMG_0353.JPG",NA,"2019:11:16 14:50:28",2048,1536,"H1R0_03/IMG_0353.JPG",0.1,0.9,0.8,996.182936,828.781877,987.150986,628.5736612,997.31192975,853.807903975,200.411840455153,2630.40540597389,2692.94142481181,-0.0234960816191113
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/CameraTrapping/REM/Calibration/Mytool2018/Hoge Veluwe test/Images/H1R0_03","H1R0_03",37,18,36,36,"cal",12,1,"IMG_0370.JPG",NA,"2019:11:16 14:50:48",2048,1536,"H1R0_03/IMG_0370.JPG",0.1,0.9,0.8,136.1855201,784.0533572,153.5920974,603.5840456,134.0096979375,806.61202115,181.306815543925,2719.60223315887,2692.94142481181,0.00985156911735073
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/CameraTrapping/REM/Calibration/Mytool2018/Hoge Veluwe test/Images/H1R0_03","H1R0_03",39,19,38,38,"cal",12,1,"IMG_0375.JPG",NA,"2019:11:16 14:50:57",2048,1536,"H1R0_03/IMG_0375.JPG",0.1,0.9,0.8,1013.147933,810.6667919,1004.115983,634.8448228,1014.27692675,832.6445380375,176.05380126258,2640.80701893869,2692.94142481181,-0.0195495032507327
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/CameraTrapping/REM/Calibration/Mytool2018/Hoge Veluwe test/Images/H1R0_03","H1R0_03",41,20,40,40,"cal",12,1,"IMG_0388.JPG",NA,"2019:11:16 14:51:06",2048,1536,"H1R0_03/IMG_0388.JPG",0.1,0.9,0.8,2034.960904,819.9692716,2022.821675,634.3618951,2036.478307625,843.1701936625,186.003922248772,2790.05883373158,2692.94142481181,0.0354286202824011
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/CameraTrapping/REM/Calibration/Mytool2018/Hoge Veluwe test/Images/H1R0_03","H1R0_03",43,21,42,42,"cal",13.5,1,"IMG_0398.JPG",NA,"2019:11:16 14:51:17",2048,1536,"H1R0_03/IMG_0398.JPG",0.1,0.9,0.8,135.7995062,759.0140974,146.9389112,598.8475174,134.407080575,779.0349199,160.553479229353,2709.33996199534,2692.94142481181,0.00607098608010698
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/CameraTrapping/REM/Calibration/Mytool2018/Hoge Veluwe test/Images/H1R0_03","H1R0_03",45,22,44,44,"cal",13.5,1,"IMG_0406.JPG",NA,"2019:11:16 14:51:26",2048,1536,"H1R0_03/IMG_0406.JPG",0.1,0.9,0.8,1010.54145,795.7310011,1003.556778,638.8636308,1011.414534,815.3394223875,157.022792956261,2649.75963113691,2692.94142481181,-0.0161651320347192
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/CameraTrapping/REM/Calibration/Mytool2018/Hoge Veluwe test/Images/H1R0_03","H1R0_03",47,23,46,46,"cal",13.5,1,"IMG_0418.JPG",NA,"2019:11:16 14:51:36",2048,1536,"H1R0_03/IMG_0418.JPG",0.1,0.9,0.8,2028.805339,798.0397407,2016.754728,631.5627798,2030.311665375,818.8493608125,166.912539181373,2816.64909868567,2692.94142481181,0.0449138528409797
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/CameraTrapping/REM/Calibration/Mytool2018/Hoge Veluwe test/Images/H1R0_03","H1R0_03",49,24,48,48,"cal",15,1,"IMG_0430.JPG",NA,"2019:11:16 14:51:49",2048,1536,"H1R0_03/IMG_0430.JPG",0.1,0.9,0.8,126.0895575,720.9271655,145.1518683,576.3346138,123.70676865,739.0012344625,145.843675557608,2734.56891670516,2692.94142481181,0.0153397434710603
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/CameraTrapping/REM/Calibration/Mytool2018/Hoge Veluwe test/Images/H1R0_03","H1R0_03",51,25,50,50,"cal",15,1,"IMG_0436.JPG",NA,"2019:11:16 14:52:02",2048,1536,"H1R0_03/IMG_0436.JPG",0.1,0.9,0.8,1010.969315,782.6950164,1004.345885,642.3987264,1011.79724375,800.23205265,140.452550039965,2633.48531324935,2692.94142481181,-0.0223258796558838
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/CameraTrapping/REM/Calibration/Mytool2018/Hoge Veluwe test/Images/H1R0_04","H1R0_04",4,1,58,3,"cal",1.5,1,"IMG_0001.JPG",NA,"2019:12:17 15:57:48",1000,750,"H1R0_04/IMG_0001.JPG",0.4,0.9,0.5,472.7777693,679.1666667,479.7222137,229.1666667,467.22221378,1039.1666667,450.053580485729,1350.16074145719,1333.3333332,0.0125415807566204
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/CameraTrapping/REM/Calibration/Mytool2018/Hoge Veluwe test/Images/H1R0_04","H1R0_04",32,15,86,31,"cal",1.5,1,"IMG_0005.JPG",NA,"2019:12:17 15:57:46",1000,750,"H1R0_04/IMG_0005.JPG",0.4,0.9,0.5,751.3888889,687.5,718.0555556,248.6111111,778.05555554,1038.61111112,440.152891514716,1320.45867454415,1333.3333332,-0.00970291539567998
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/CameraTrapping/REM/Calibration/Mytool2018/Hoge Veluwe test/Images/H1R0_04","H1R0_04",6,2,60,5,"cal",3,1,"IMG_0025.JPG",NA,"2019:12:17 15:58:05",1000,750,"H1R0_04/IMG_0025.JPG",0.1,0.9,0.8,147.1957048,655.0484109,142.5968134,302.9047313,147.770566225,699.06637085,352.173708394503,1320.65140647939,1333.3333332,-0.00955696772241543
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/CameraTrapping/REM/Calibration/Mytool2018/Hoge Veluwe test/Images/H1R0_04","H1R0_04",34,16,88,33,"cal",3,1,"IMG_0032.JPG",NA,"2019:12:17 15:58:13",1000,750,"H1R0_04/IMG_0032.JPG",0.1,0.9,0.8,494.1100448,646.861994,483.0722115,305.0685078,495.4897739625,689.586179775,341.971666915123,1282.39375093171,1333.3333332,-0.0389536229982699
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/CameraTrapping/REM/Calibration/Mytool2018/Hoge Veluwe test/Images/H1R0_04","H1R0_04",36,17,90,35,"cal",3,1,"IMG_0040.JPG",NA,"2019:12:17 15:58:20",1000,750,"H1R0_04/IMG_0040.JPG",0.1,0.9,0.8,826.3297425,645.2513972,806.6202082,293.7647021,828.7934342875,689.1872340875,352.038865147931,1320.14574430474,1333.3333332,-0.00993992949641955
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/CameraTrapping/REM/Calibration/Mytool2018/Hoge Veluwe test/Images/H1R0_04","H1R0_04",38,18,92,37,"cal",4.5,1,"IMG_0047.JPG",NA,"2019:12:17 15:58:28",1000,750,"H1R0_04/IMG_0047.JPG",0.1,0.9,0.8,839.3114823,549.3403497,820.3040872,313.0461607,841.6874066875,578.877123325,237.057429378738,1333.4480402554,1333.3333332,8.60265911650995e-05
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/CameraTrapping/REM/Calibration/Mytool2018/Hoge Veluwe test/Images/H1R0_04","H1R0_04",8,3,62,7,"cal",4.5,1,"IMG_0053.JPG",NA,"2019:12:17 15:58:35",1000,750,"H1R0_04/IMG_0053.JPG",0.1,0.9,0.8,526.275768,549.2739102,530.2176748,314.7304519,525.78302965,578.5918424875,234.576581227845,1319.49326940663,1333.3333332,-0.0104342962700679
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/CameraTrapping/REM/Calibration/Mytool2018/Hoge Veluwe test/Images/H1R0_04","H1R0_04",10,4,64,9,"cal",4.5,1,"IMG_0063.JPG",NA,"2019:12:17 15:58:44",1000,750,"H1R0_04/IMG_0063.JPG",0.1,0.9,0.8,152.4515806,546.6459723,157.0504719,310.1315606,151.8767191875,576.2102737625,236.559118917421,1330.64504391049,1333.3333332,-0.0020182522689634
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/CameraTrapping/REM/Calibration/Mytool2018/Hoge Veluwe test/Images/H1R0_04","H1R0_04",12,5,66,11,"cal",6,1,"IMG_0071.JPG",NA,"2019:12:17 15:58:51",1000,750,"H1R0_04/IMG_0071.JPG",0.1,0.9,0.8,145.2247513,493.4302296,148.1466248,315.6829288,144.8595171125,515.6486422,177.771314577003,1333.28485932752,1333.3333332,-3.63560652369283e-05
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/CameraTrapping/REM/Calibration/Mytool2018/Hoge Veluwe test/Images/H1R0_04","H1R0_04",14,6,68,13,"cal",6,1,"IMG_0079.JPG",NA,"2019:12:17 15:58:59",1000,750,"H1R0_04/IMG_0079.JPG",0.1,0.9,0.8,510.4418697,489.963669,508.3273668,315.8969125,510.7061825625,511.7220135625,174.079599152067,1305.5969936405,1333.3333332,-0.0210216697917819
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/CameraTrapping/REM/Calibration/Mytool2018/Hoge Veluwe test/Images/H1R0_04","H1R0_04",16,7,70,15,"cal",6,1,"IMG_0089.JPG",NA,"2019:12:17 15:59:11",1000,750,"H1R0_04/IMG_0089.JPG",0.1,0.9,0.8,846.7587312,495.8342444,848.5624738,317.3728552,846.533263375,518.14191805,178.470504348929,1338.52878261696,1333.3333332,0.00388901503142214
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/CameraTrapping/REM/Calibration/Mytool2018/Hoge Veluwe test/Images/H1R0_04","H1R0_04",40,19,94,39,"cal",7.5,1,"IMG_0094.JPG",NA,"2019:12:17 15:59:24",1000,750,"H1R0_04/IMG_0094.JPG",0.1,0.9,0.8,519.6598597,463.1265823,528.8396128,324.487334,518.5123905625,480.4564883375,138.942826501284,1302.58899844954,1333.3333332,-0.0233282510967266
